EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,Notes,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,Location,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
E1001548,23,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Rarely,1,2,4,47,3,"2021020200471  Other phone 55 41 99
1869773 taxnational ID 38.491.41900
0166 name Vinicius Augusto Dilay De
 Paula3392379800000",1,3,1,No,22,4,India,1,2,3,1,0,0,1,0,4
E1001553,26,Male,Life Sciences,Single,Research & Development,Research Scientist,Travel_Rarely,4,2,3,53,3,"2021020200323  Other phone 55 98 99
1832121 taxnational ID 32.336.61400
0135 name PEDRO FREIRE6890081000001",1,4,1,Yes,20,2,India,8,2,2,8,5,2,2,0,4
E1001555,45,Female,Marketing,Single,Sales,Manager,Travel_Rarely,2,3,1,94,1,"2021020200470  Other phone 55 21382
01700 taxnational ID 39.749.9720001
193392379800000",5,2,2,Yes,16,1,India,26,2,3,24,10,1,11,1,2
E1001556,55,Male,Medical,Divorced,Research & Development,Healthcare Representative,Non-Travel,8,1,4,37,2,2021020200412  Other 012504,4,2,1,Yes,15,4,India,34,3,3,33,9,15,0,0,3
E1001557,21,Female,Life Sciences,Single,Research & Development,Laboratory Technician,Travel_Frequently,10,2,1,45,2,2021020200324  Other 000120152,1,3,1,No,20,3,India,2,2,1,2,2,2,2,1,2
E1001558,46,Female,Marketing,Married,Sales,Manager,Travel_Rarely,4,2,4,33,2,2021020200473  Other 73000,5,2,2,No,14,3,India,26,2,3,11,4,0,8,0,3
E1001559,34,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,2,3,3,86,3,2021020200410  Other DNI 48041202,2,1,0,Yes,12,4,India,4,3,3,3,2,0,2,0,3
E1001560,51,Male,Life Sciences,Divorced,Sales,Manager,Travel_Frequently,9,3,4,83,3,2021020200472  Other 044525593,5,2,4,Yes,24,1,India,31,5,2,29,10,11,10,0,4
E1001561,59,Male,Medical,Single,Research & Development,Manager R&D,Travel_Rarely,18,4,4,67,3,2021020200358  Other 044691,3,4,6,No,12,4,India,25,6,2,9,7,5,4,0,3
E1001563,34,Female,Medical,Divorced,Research & Development,Laboratory Technician,Travel_Frequently,19,3,3,46,3,2021012900360  Other 123027,2,2,4,No,13,3,India,15,2,4,11,8,5,10,0,3
E1001564,28,Male,Medical,Single,Research & Development,Laboratory Technician,Travel_Frequently,1,4,4,44,3,2021020200322  Other 012552,1,3,0,Yes,11,3,India,5,2,2,4,2,0,2,0,3
E1001566,44,Male,Life Sciences,Divorced,Research & Development,Manager R&D,Travel_Rarely,4,2,3,92,4,"2021020200346  Other phone 55 11 98
1675017 taxnational ID 409.122.8780
23392379800000",5,1,1,No,14,4,India,26,4,2,25,9,14,13,0,3
E1001567,34,Male,Life Sciences,Married,Human Resources,Human Resources,Travel_Frequently,11,3,3,56,2,"2021020200321  Other phone 55 51 32
080004 taxnational ID 16.614.576000
189 name Jose Carlos Suarez00000000
01248",2,2,4,No,11,4,India,14,5,4,10,9,1,8,0,3
E1001569,35,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Rarely,6,1,3,66,3,"2021020200409  Other phone 54 11 55
73 6644 CUIT 20332413873",1,3,0,Yes,14,4,India,4,3,3,3,2,2,2,0,3
E1001570,42,Female,Medical,Married,Research & Development,Research Scientist,Travel_Rarely,7,4,2,78,4,2021020200475  Other,2,2,6,Yes,16,4,India,18,2,3,1,0,0,0,0,3
E1001571,43,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,4,4,4,56,2,2021020200477  Other 009970,3,4,3,No,14,4,India,23,3,4,21,7,15,17,0,3
E1001572,36,Female,Life Sciences,Single,Research & Development,Manufacturing Director,Travel_Rarely,2,4,3,53,3,2021020200474  Other,2,2,9,Yes,11,4,India,18,2,3,16,14,5,12,0,3
E1001574,28,Male,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Frequently,2,3,4,52,2,2021020200406  Other 08843,1,4,1,Yes,12,2,India,2,2,3,2,2,2,2,0,3
E1001575,51,Female,Medical,Single,Research & Development,Laboratory Technician,Travel_Frequently,6,2,2,40,2,"2021020200319  Other phone 55 31 99
3400474 taxnational ID 894.750.4661
53392379800000",1,3,0,No,14,2,India,8,6,2,7,0,7,7,0,3
E1001576,30,Female,Medical,Single,Research & Development,Manufacturing Director,Non-Travel,9,2,3,72,3,2021020200478  Other,2,3,7,Yes,18,3,India,10,3,3,8,4,1,7,0,3
E1001577,29,Female,Technical Degree,Divorced,Research & Development,Laboratory Technician,Travel_Rarely,7,3,2,39,3,2021020200407  Other,1,3,3,Yes,13,1,India,10,2,3,7,7,7,7,1,2
E1001579,28,Male,Technical Degree,Single,Research & Development,Research Scientist,Travel_Rarely,1,3,4,84,3,"2021020200320  Other phone (62) 9 8
2449148 taxnational ID 22.596.61500
0165 name LUIZ MARQUES6070119002903",1,1,2,No,11,2,India,5,2,2,3,2,1,2,0,3
E1001581,25,Female,Medical,Single,Research & Development,Research Scientist,Travel_Rarely,1,3,4,40,3,"2021020200408  Other phone 54 11 37
94 1949 CUIT 20334981631",1,2,1,No,18,4,India,2,3,2,2,2,2,1,0,3
E1001582,32,Male,Medical,Married,Sales,Sales Executive,Travel_Rarely,8,3,3,56,4,2021020200482  Other,2,4,1,No,15,3,India,10,4,4,10,7,0,8,0,3
E1001584,45,Female,Medical,Single,Research & Development,Manager,Travel_Frequently,25,3,2,83,3,"2021020200316  Other Tax payer ID  
3102671464102",5,2,3,No,22,3,India,22,4,3,0,0,0,0,0,4
E1001585,39,Female,Medical,Divorced,Research & Development,Manager,Travel_Rarely,13,4,3,94,2,2021020200463  Other 7339501,4,2,6,Yes,13,4,India,21,4,3,19,9,15,2,0,3
E1001586,58,Male,Life Sciences,Divorced,Research & Development,Research Scientist,Travel_Rarely,23,4,1,88,3,"2021020200317  Other phone 55 51 37
157800 taxnational ID 95.424.834000
130 name RAFAEL TAVARES927020670034
0",1,3,1,No,12,4,India,2,3,3,2,2,2,2,0,2
E1001587,32,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,7,2,4,79,3,2021020200479  Other,2,3,1,No,18,1,India,10,3,3,10,4,1,1,1,3
E1001590,36,Female,Technical Degree,Married,Research & Development,Healthcare Representative,Travel_Rarely,10,4,4,63,3,"2021020200318  Other phone 55 19 96
002036 taxnational ID 349.977.62865
3392379800000",3,3,3,No,12,1,India,10,0,3,7,7,1,7,0,3
E1001592,46,Female,Life Sciences,Single,Human Resources,Human Resources,Travel_Rarely,1,2,4,44,3,2021020200485  Other,1,1,6,No,12,3,India,10,3,4,7,6,5,7,0,3
E1001593,28,Female,Life Sciences,Married,Research & Development,Manager R&D,Non-Travel,1,3,3,55,1,2021020200487  Other 009969,2,4,0,No,11,1,India,10,6,3,9,8,7,5,0,3
E1001595,50,Female,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,28,3,4,43,3,2021020200484  Other,4,1,4,Yes,11,2,India,25,2,3,3,2,1,2,0,3
E1001596,40,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,25,4,4,57,2,2021020200483  Other,3,2,2,Yes,12,3,India,9,2,3,5,4,1,0,1,3
E1001597,52,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Rarely,5,3,2,64,3,"2021020200314  Other phone 55 71 34
927579 taxnational ID 11.885.832000
1592370001",3,2,9,Yes,19,3,India,10,2,2,8,7,7,7,1,2
E1001602,31,Female,Life Sciences,Divorced,Sales,Sales Executive,Non-Travel,2,4,4,57,3,"2021020200315  Other phone 55 11 48
831967 taxnational ID 3049860900010
1 name CLAUDIA CEPUKAS6070119001681",3,3,1,Yes,19,1,India,10,5,2,10,8,9,6,0,3
E1001607,41,Male,Medical,Single,Sales,Sales Executive,Non-Travel,10,2,3,40,1,2021012900043  Other 009970,2,2,1,No,13,1,India,19,4,3,19,2,11,9,0,3
E1001614,55,Female,Medical,Married,Research & Development,Manager,Travel_Rarely,2,2,4,58,1,"2021020200344  Other phone 55 73 99
1826013 taxnational ID 991521935003
392379800000",5,3,4,No,14,4,India,23,5,3,19,9,9,11,0,3
E1001616,56,Male,Life Sciences,Single,Human Resources,Manager,Travel_Rarely,8,4,4,99,3,2021020200488  Other,5,2,6,No,14,1,India,36,4,3,7,3,7,7,0,3
E1001618,40,Male,Life Sciences,Divorced,Research & Development,Research Scientist,Non-Travel,16,2,3,74,3,"2021020200313  Other phone 55 21 22
228000 taxnational ID 33.216.797000
118 name Luiz Mendes6074694802373",1,3,9,No,16,2,India,6,0,3,4,2,0,0,0,3
E1001622,34,Male,Life Sciences,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,9,3,4,86,3,2021020200345  Other 00205,3,4,0,No,11,4,India,10,0,2,9,7,1,6,0,3
E1001627,41,Female,Marketing,Divorced,Sales,Sales Executive,Travel_Frequently,1,3,3,66,3,2021020200486  Other,2,1,0,No,17,4,India,10,2,3,9,3,1,7,0,3
E1001628,35,Male,Life Sciences,Single,Research & Development,Research Scientist,Travel_Frequently,4,4,3,87,3,2021020200547  Other 07,2,3,1,Yes,11,2,India,9,3,3,9,6,1,1,0,3
E1001630,51,Male,Life Sciences,Divorced,Human Resources,Manager,Travel_Rarely,5,3,3,84,3,"2021020200312  Other phone 55 19 38
951404 taxnational ID 22.090.646000
140 name JOSIE CONTI9040088800661",4,2,1,Yes,11,2,India,33,2,3,33,9,0,10,0,3
E1001633,38,Female,Life Sciences,Divorced,Sales,Sales Executive,Travel_Rarely,2,2,2,31,3,2021020200546  Other 001001732,2,1,3,No,15,4,India,11,3,3,7,7,1,7,0,2
E1001634,34,Female,Medical,Single,Sales,Sales Executive,Travel_Rarely,15,2,3,66,3,2021020200545  Other 0400,2,1,1,No,12,4,India,10,6,4,10,8,9,6,0,3
E1001636,25,Male,Medical,Married,Research & Development,Laboratory Technician,Travel_Rarely,19,1,4,67,3,"2021020200489  Other Purpose of pay
ment code 0803IIBA1010",1,4,3,No,11,3,India,7,6,2,3,2,1,2,0,3
E1001638,58,Female,Medical,Married,Research & Development,Manufacturing Director,Travel_Rarely,7,4,3,53,2,2021020200550  Other 51,3,1,7,Yes,14,4,India,31,0,2,10,9,5,9,1,3
E1001639,40,Male,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,4,2,88,3,"2021020200307  Other phone 55 21 97
0472515 taxnational ID 840.556.3458
73392379800000",1,2,3,No,22,3,India,7,3,3,4,2,0,3,0,3
E1001640,36,Female,Marketing,Married,Sales,Sales Executive,Travel_Frequently,7,3,1,83,4,2021020200549  Other 13,2,1,2,No,16,4,India,17,2,2,15,7,6,13,0,2
E1001641,48,Male,Life Sciences,Single,Research & Development,Manufacturing Director,Travel_Rarely,4,3,4,54,3,"2021020200308  Other phone 55 11 9 
6805 3868 taxnational ID 324.377.97
8232370001",3,4,1,No,11,3,India,11,2,3,10,9,0,8,0,3
E1001642,27,Female,Medical,Married,Sales,Sales Representative,Travel_Rarely,11,3,3,98,4,2021020200548  Other 51,1,4,8,No,14,2,India,5,4,3,1,0,0,0,0,3
E1001645,51,Female,Technical Degree,Single,Research & Development,Manager R&D,Travel_Rarely,11,2,4,82,2,"2021020200310  Other phone 55 61 98
1380344 taxnational ID 540.078.0113
46890081000001",4,2,3,No,16,2,India,29,1,2,5,2,0,3,0,3
E1001646,18,Female,Life Sciences,Single,Research & Development,Manager R&D,Non-Travel,1,3,4,97,3,"2021020200303  Other phone 55 31 21
017000 taxnational ID 946.544.92534
3392379800000",1,4,1,No,15,3,India,0,5,4,0,0,0,0,0,4
E1001647,35,Female,Medical,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,3,4,60,2,2021020200562  Other 015000,2,4,0,No,12,2,India,10,0,3,9,7,0,0,0,3
E1001649,27,Male,Life Sciences,Single,Sales,Sales Executive,Travel_Frequently,2,1,4,43,1,"2021020200304  Other phone 55 41 32
095554 taxnational ID 23.620.731000
135 name MICHAEL SIQUEIRA3392379800
000",2,4,3,No,20,2,India,8,3,3,6,2,0,0,0,4
E1001650,55,Male,Marketing,Single,Sales,Sales Executive,Travel_Rarely,13,4,1,85,4,"2021020200305  Other phone 55 41 9 
99763944 taxnational ID 566.457.759
206070119004080",4,3,6,Yes,17,3,India,24,2,2,19,7,3,8,1,2
E1001651,56,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,23,3,4,68,3,"2021020200306  Other phone 55 35 98
8419045 taxnational ID 035.731.036.
503392379800000",4,2,4,Yes,12,1,India,33,0,3,19,16,15,9,0,3
E1001652,34,Female,Technical Degree,Divorced,Research & Development,Research Scientist,Non-Travel,26,1,1,92,2,2021020200561  Other 015514,1,3,1,No,20,3,India,5,2,3,5,4,0,0,0,3
E1001653,40,Female,Medical,Divorced,Research & Development,Manager R&D,Travel_Rarely,2,1,2,89,4,"2021020200298  Other phone 55 11 25
019157 taxnational ID 034.123.79573
 name ANDERSON NASCIMENTO6890081000
001",2,3,5,No,20,2,India,15,0,3,12,11,11,8,0,2
E1001655,34,Male,Medical,Married,Research & Development,Laboratory Technician,Travel_Rarely,29,3,2,86,3,"2021020200299  Other phone 55 65 30
275770 taxnational ID 02.327.858000
190 name RAMON LARAVIA6070119000288",2,3,4,No,13,1,India,10,1,3,8,7,7,7,0,2
E1001657,31,Female,Life Sciences,Single,Sales,Sales Representative,Travel_Frequently,2,3,3,90,2,"2021020200300  Other phone 55 63 99
242  8694 taxnational ID 736.640.30
1683392379800000",1,4,7,No,14,3,India,3,3,4,1,0,0,0,1,3
E1001660,38,Male,Life Sciences,Divorced,Research & Development,Research Scientist,Travel_Frequently,7,3,4,57,4,"2021020200301  Other phone 55 11 99
3816144 taxnational ID 290.654.7182
06070119006241",1,3,1,No,11,4,India,4,2,3,4,2,0,3,0,3
E1001661,34,Female,Technical Degree,Single,Research & Development,Healthcare Representative,Travel_Rarely,2,4,3,98,3,2021020200563  Other 07,2,4,1,No,11,4,India,14,2,4,14,11,4,11,0,3
E1001665,28,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,26,3,3,48,2,2021020200302  Other 265,2,1,1,No,11,3,India,5,0,3,5,3,0,4,0,3
E1001668,39,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,21,4,1,44,2,"2021020200291  Other phone 55 83 35
315770 taxnational ID 11.694.678000
138 name SISTEMA COMUNIC DIARIO0000
000000099",2,4,3,Yes,12,4,India,8,2,4,5,4,1,4,0,2
E1001669,51,Male,Marketing,Married,Sales,Sales Executive,Travel_Frequently,2,3,2,52,3,2021020200292  Other ICIC0006251,3,2,2,No,11,2,India,14,5,3,4,2,3,2,0,2
E1001670,41,Female,Life Sciences,Divorced,Research & Development,Manager R&D,Travel_Frequently,22,3,4,75,3,"2021020200294  Other phone 55 74 98
8191776 taxnational ID 047.294.1356
33392379800000",2,4,3,Yes,14,1,India,12,4,2,6,2,3,3,0,3
E1001673,33,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Frequently,5,1,2,61,3,2021020200295  Other 202646,2,4,6,No,13,1,India,8,2,4,5,4,1,2,0,2
E1001674,32,Male,Marketing,Married,Sales,Sales Executive,Travel_Rarely,2,1,3,36,3,"2021020200296  Other phone 55 11 25
019157 taxnational ID 418.065.32816
3392379800000",2,2,0,Yes,13,1,India,4,3,2,3,2,1,2,0,3
E1001675,39,Male,Life Sciences,Married,Research & Development,Manager R&D,Non-Travel,25,2,3,71,3,"2021020200297  Other phone 55 11 30
398219 taxnational ID 05.396.701000
105 name ANDREY RAMOS6070119004465",3,3,3,No,NULL,NULL,India,13,2,3,6,4,0,5,0,4
E1001677,25,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,18,1,1,93,4,2021020200553  Other 07,2,3,2,No,NULL,NULL,India,6,3,2,3,2,1,2,0,2
E1001679,52,Female,Medical,Married,Research & Development,Manufacturing Director,Travel_Frequently,28,2,4,59,4,"2021020200288  Other phone 55 31 98
6799203 taxnational ID 33.245.90200
0147 name DIEGO GAMA3392379800000",4,3,2,Yes,NULL,NULL,India,24,3,2,5,3,0,2,0,3
E1001680,43,Female,Medical,Single,Research & Development,Research Scientist,Travel_Rarely,6,3,1,73,2,2021020200552  Other 07,2,3,1,Yes,NULL,NULL,India,20,3,1,20,7,1,8,0,2
E1001681,27,Female,Marketing,Married,Sales,Sales Executive,Travel_Rarely,10,3,4,98,2,2021020200551  Other 07,2,4,1,Yes,NULL,NULL,India,6,3,3,6,2,4,4,0,3
E1001683,27,Female,Life Sciences,Single,Research & Development,Research Scientist,Travel_Rarely,17,4,4,51,3,"2021020200289  Other phone 55 82 9 
99915984 taxnational ID 16.920.5030
001150036030503209",1,3,1,Yes,NULL,NULL,India,8,2,3,8,2,7,7,1,3
E1001685,26,Male,Medical,Single,Research & Development,Research Scientist,Travel_Rarely,2,1,1,36,2,"2021020200290  Other phone 55 87 9 
99118640 taxnational ID 066.886.344
733392379800000",1,4,0,No,NULL,NULL,India,5,2,3,4,3,1,1,0,3
E1001686,42,Female,Human Resources,Married,Human Resources,Manager,Travel_Rarely,10,3,3,31,3,2021020200554  Other 07,4,1,0,No,14,3,India,21,5,3,20,7,0,9,0,3
E1001689,37,Female,Medical,Single,Research & Development,Manager R&D,Travel_Rarely,11,3,1,94,3,2021020200558  Other 51,1,3,4,No,18,1,India,8,6,3,3,2,0,2,0,3
E1001690,35,Male,Life Sciences,Single,Research & Development,Manufacturing Director,Travel_Frequently,18,2,3,60,3,"2021020200347  Other phone 55 82 9 
99376100 taxnational ID 29.056.9970
00183 name Izael da Silva Nasciment
o6890081000001",3,4,2,No,11,3,India,10,2,3,2,2,2,2,0,3
E1001693,25,Male,Technical Degree,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,3,1,81,3,2021020200557  Other 51,1,4,4,No,11,2,India,7,2,2,3,2,0,2,0,3
E1001697,29,Male,Other,Single,Human Resources,Human Resources,Travel_Rarely,17,3,2,51,2,"2021020200283  Other phone 55 31 98
7946164 taxnational ID 188012540001
74 name RONALDO ARAUJO0036030500001",3,1,1,No,13,1,India,10,3,2,10,9,0,9,0,3
E1001698,49,Male,Life Sciences,Single,Research & Development,Manager R&D,Travel_Frequently,28,2,1,97,2,2021020200556  Other 51,2,1,3,No,20,1,India,20,2,3,4,3,1,3,1,3
E1001700,54,Female,Medical,Single,Research & Development,Research Director,Travel_Rarely,1,3,4,54,3,"2021020200340  Other phone 55 11 20
961737 taxnational ID 32.191.544000
174 name ALINE PRADO3392379800000",4,4,6,No,19,4,India,29,3,2,20,7,12,7,0,3
E1001701,58,Female,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,1,3,4,76,3,2021020200494  Other,5,1,3,Yes,21,3,India,32,3,3,9,8,1,5,0,4
E1001703,36,Female,Marketing,Single,Sales,Sales Executive,Travel_Rarely,3,4,1,99,3,2021020200493  Other,2,2,3,Yes,16,4,India,15,3,3,5,4,0,1,0,3
E1001705,31,Female,Life Sciences,Single,Sales,Sales Representative,Travel_Frequently,1,4,2,50,1,2021020200508  Other 009970,1,3,1,No,12,2,India,1,3,3,1,0,0,0,1,3
E1001706,30,Female,Marketing,Divorced,Sales,Sales Executive,Travel_Rarely,7,4,4,73,3,2021020200492  Other,2,1,7,No,14,2,India,8,3,3,3,2,0,2,0,3
E1001708,31,Female,Life Sciences,Single,Research & Development,Research Director,Travel_Rarely,8,5,1,93,3,2021020200555  Other 51,4,2,3,No,11,3,India,9,3,4,3,2,1,0,0,3
E1001709,34,Male,Other,Divorced,Research & Development,Research Scientist,Travel_Frequently,1,4,4,91,3,"2021020200281  Other phone 55 71 98
6143734 taxnational ID 34.465.99100
0108 name FRANCIS LIMA3392379800000",1,1,5,No,14,3,India,10,2,3,4,3,1,3,0,3
E1001711,31,Female,Life Sciences,Single,Research & Development,Research Scientist,Travel_Rarely,8,3,1,34,2,"2021020200338  Other phone 55 32 98
8373305 taxnational ID 074.338.3362
53392379800000",1,2,1,No,12,3,India,1,3,4,1,0,0,0,1,3
E1001712,27,Male,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,11,1,2,91,3,2021020200540  Other 044525974,1,1,0,No,14,2,India,6,3,4,5,0,1,4,0,3
E1001713,36,Male,Life Sciences,Single,Research & Development,Laboratory Technician,Travel_Rarely,4,4,1,37,2,"2021020200339  Other phone 55 11 25
019157 taxnational ID 31.339.893000
1280013590",2,4,1,No,16,3,India,10,2,2,10,4,1,8,0,2
E1001716,47,Male,Technical Degree,Married,Research & Development,Research Scientist,Travel_Rarely,1,3,1,74,3,2021020200507  Other,1,4,7,No,12,3,India,17,2,2,6,5,1,2,0,2
E1001717,25,Male,Life Sciences,Married,Sales,Sales Representative,Travel_Rarely,9,2,1,68,2,2021020200495  Other,1,1,3,No,12,1,India,6,2,3,3,2,2,2,1,2
E1001718,37,Male,Technical Degree,Single,Research & Development,Manager R&D,Non-Travel,5,2,3,84,4,"2021020200335  Other phone 55 11 99
8703931 taxnational ID 406.19474866
3392379800000",1,3,0,No,14,1,India,7,2,1,6,5,1,3,0,3
E1001719,56,Female,Life Sciences,Married,Research & Development,Manager R&D,Travel_Rarely,1,2,1,90,3,2021020200533  Other 009969,1,1,2,No,22,4,India,5,3,4,3,2,1,0,0,4
E1001723,24,Female,Medical,Married,Sales,Sales Executive,Travel_Rarely,4,1,4,42,3,2021020200534  Other 20070000,2,3,1,Yes,12,3,India,5,3,3,5,4,0,3,0,3
E1001725,34,Female,Life Sciences,Married,Research & Development,Laboratory Technician,Travel_Rarely,1,3,4,86,2,"2021020200336  Other phone 55 35 32
924700 taxnational ID 21.075.347000
173 name ETIENE ROCHA3392379800000",1,2,5,No,17,1,India,7,2,2,5,4,0,2,0,3
E1001726,41,Male,Medical,Married,Research & Development,Manager R&D,Travel_Rarely,5,5,2,90,4,2021020200537  Other 24901057,1,3,2,Yes,12,1,India,7,5,2,4,2,0,3,0,3
E1001727,40,Male,Other,Divorced,Research & Development,Laboratory Technician,Non-Travel,9,4,3,81,3,"2021020200337  Other phone 55 74 32
581826 taxnational ID 17.188.789000
159 name ROMULO FONTOURA0013590",2,3,3,No,11,3,India,11,2,4,8,7,0,7,0,3
E1001731,31,Male,Life Sciences,Divorced,Sales,Sales Executive,Travel_Rarely,8,2,1,31,3,2021020200514  Other,3,4,1,No,18,1,India,13,5,3,13,7,9,9,0,2
E1001736,39,Female,Life Sciences,Single,Research & Development,Laboratory Technician,Non-Travel,2,3,1,54,2,2021020200513  Other,1,1,2,Yes,23,2,India,11,2,4,1,0,0,0,1,4
E1001737,31,Female,Life Sciences,Single,Research & Development,Manager R&D,Travel_Frequently,1,5,3,100,4,"2021020200333  Other phone 55 51 9 
99930742 taxnational ID 26.880.2810
001083392379800000",3,2,1,No,11,1,India,10,2,3,10,8,4,7,1,3
E1001738,45,Male,Medical,Divorced,Research & Development,Manager R&D,Travel_Rarely,20,3,2,95,1,"2021020200279  Other phone 55319830
81047 taxnational ID 26.198.5150004
84 name Alessandra Soares9040088802
048",3,1,2,Yes,18,2,India,24,2,3,7,7,0,7,0,3
E1001739,31,Female,Medical,Single,Human Resources,Human Resources,Travel_Rarely,8,2,4,96,4,2021020200334  Other,1,2,9,No,18,4,India,8,3,3,3,2,0,2,0,3
E1001743,45,Male,Technical Degree,Married,Research & Development,Manager R&D,Travel_Rarely,29,3,2,55,3,2021020200512  Other,3,4,4,Yes,18,4,India,10,4,4,3,1,1,2,0,3
E1001745,34,Female,Technical Degree,Married,Human Resources,Human Resources,Travel_Rarely,9,4,1,52,3,"2021020200331  Other phone 55 19 97
4201676 taxnational ID 343.021.6389
53392379800000",1,3,1,No,15,4,India,2,0,3,2,2,2,2,1,2
E1001746,40,Male,Medical,Divorced,Research & Development,Research Director,Non-Travel,8,1,4,55,2,2021020200517  Other,3,2,2,No,11,3,India,16,5,3,9,8,4,8,0,3
E1001749,44,Male,Life Sciences,Single,Research & Development,Laboratory Technician,Non-Travel,5,3,3,90,2,2021020200516  Other 00062,1,3,3,No,14,4,India,7,5,3,5,2,0,3,0,3
E1001751,49,Male,Technical Degree,Married,Research & Development,Manager R&D,Travel_Rarely,5,4,1,96,3,2021020200278  Other 009969,2,3,2,No,14,2,India,20,0,2,3,2,1,2,0,2
E1001752,40,Male,Medical,Divorced,Research & Development,Research Scientist,Travel_Rarely,2,3,3,68,3,"2021020200332  Other phone 55 31 9 
94435854 taxnational ID 34.802.4300
00149 name  Lucas Marques Ulhoa3392
379800000",1,3,2,No,14,3,India,8,3,4,3,1,1,2,0,4
E1001753,44,Male,Life Sciences,Single,Research & Development,Manager R&D,Travel_Rarely,20,3,4,49,3,2021020200515  Other 000306800,1,2,1,No,13,3,India,6,3,2,5,2,1,3,0,3
E1001755,33,Male,Medical,Married,Sales,Sales Executive,Travel_Frequently,7,3,4,54,3,"2021020200329  Other phone 55 81 99
6872806 taxnational ID 065.468.4049
93392379800000",2,1,0,No,14,1,India,5,2,3,4,3,0,3,0,3
E1001756,34,Male,Other,Single,Sales,Sales Executive,Travel_Rarely,3,3,4,81,1,"2021020200276  Other phone 55 79 99
1417148 taxnational ID 044.774.9854
33392379800000",2,1,3,No,18,4,India,15,2,3,13,9,3,12,0,3
E1001757,30,Male,Life Sciences,Married,Sales,Sales Executive,Travel_Rarely,16,1,4,96,3,2021020200519  Other,2,3,8,No,15,3,India,4,2,2,2,1,2,2,0,3
E1001758,42,Female,Medical,Single,Research & Development,Laboratory Technician,Travel_Frequently,9,2,1,74,3,"2021020200330  Other phone 55 16 99
9935881 taxnational ID 10.436.67800
0175 name RENAN BARDINE339237980000
0",1,4,1,No,13,3,India,12,3,3,12,9,5,8,0,2
E1001759,44,Female,Marketing,Married,Sales,Sales Executive,Travel_Frequently,1,5,1,79,3,2021020200518  Other INGB,2,3,7,No,12,3,India,11,4,2,1,0,0,0,0,3
E1001760,30,Male,Technical Degree,Divorced,Research & Development,Research Scientist,Non-Travel,7,3,3,64,3,"2021020200277  Other phone 55 65 84
677131 taxnational ID 27.106.553000
180 name SERGIO ALLIEND904008880440
7",1,3,1,No,13,2,India,1,2,2,1,0,0,0,0,3
E1001761,57,Male,Life Sciences,Married,Research & Development,Research Scientist,Travel_Rarely,1,2,2,93,4,2021020200522  Other STSA9300,2,3,0,No,24,1,India,13,2,2,12,9,2,8,0,2
E1001762,49,Male,Life Sciences,Divorced,Research & Development,Manager R&D,Travel_Rarely,7,4,3,35,3,"2021020200273  Other phone 55 62 99
3379376 taxnational ID 702.660.9211
06890081000001",3,2,3,No,14,2,India,29,3,3,8,7,0,7,0,3
E1001763,34,Male,Medical,Divorced,Research & Development,Research Director,Travel_Frequently,15,3,2,71,3,2021020200521  Other 07,4,1,7,No,14,4,India,16,3,2,14,8,6,9,0,2
E1001764,28,Male,Technical Degree,Married,Sales,Sales Representative,Travel_Frequently,1,3,1,92,3,2021020200274  Other 00070000,1,3,3,No,15,4,India,5,3,4,3,2,1,2,1,2
E1001767,34,Female,Medical,Single,Sales,Sales Executive,Travel_Rarely,24,4,1,40,2,2021020200520  Other 7171288,2,2,0,Yes,23,3,India,16,2,4,15,9,10,10,1,2
E1001770,35,Male,Life Sciences,Married,Sales,Sales Representative,Travel_Rarely,7,1,4,76,3,"2021020200275  Other phone 55 62 30
913399 taxnational ID 05.384.125000
1863392379800000",1,3,1,No,13,1,India,1,3,3,1,0,0,0,0,3
